canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,target_name
NCCCOCCCCOCCCNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CC1CCCCC1,CHEMBL140056,IC50,nM,25900.0,IC50,uM,25.9,CHRNA1
NCCCOCCCCOCCCNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CC1CCCCC1,CHEMBL140056,IC50,nM,5690.0,IC50,uM,5.69,CHRNA1
NCCCCCCCCCCCCNC(=O)[C@H](Cc1cccc(O)c1)NC(=O)Cc1ccccc1,CHEMBL141037,IC50,nM,105000.0,IC50,uM,105.0,CHRNA1
NCCCCCCCCCCCCNC(=O)[C@H](Cc1cccc(O)c1)NC(=O)Cc1ccccc1,CHEMBL141037,IC50,nM,8050.0,IC50,uM,8.05,CHRNA1
C#Cc1cncc([C@H]2CCCN2C)c1,CHEMBL1788226,EC50,nM,29000.0,EC50,uM,29.0,CHRNA1
C#Cc1cncc([C@H]2CCCN2C)c1,CHEMBL1788226,EC50,nM,9000.0,EC50,uM,9.0,CHRNA1
CN1CCC[C@H]1c1cccnc1,CHEMBL3,EC50,nM,10000.0,EC50,uM,10.0,CHRNA1
CN1CCC[C@H]1c1cccnc1,CHEMBL3,EC50,nM,65000.0,EC50,uM,65.0,CHRNA1
C#Cc1cncc(C2CCCN2C)c1,CHEMBL111580,EC50,nM,15000.0,EC50,uM,15.0,CHRNA1
C#Cc1cncc(C2CCCN2C)c1,CHEMBL111580,EC50,nM,52000.0,EC50,uM,52.0,CHRNA1
C#Cc1cncc(C2CCCN2C)c1,CHEMBL111580,EC50,nM,39000.0,EC50,uM,39.0,CHRNA1
C#Cc1cncc(C2CCCN2C)c1,CHEMBL111580,EC50,nM,53000.0,EC50,uM,53.0,CHRNA1
C#Cc1cncc([C@@H]2CCCN2C)c1,CHEMBL111659,EC50,nM,5000.0,EC50,uM,5.0,CHRNA1
C#Cc1cncc([C@@H]2CCCN2C)c1,CHEMBL111659,EC50,nM,49000.0,EC50,uM,49.0,CHRNA1
Cc1cc([C@@H]2CCCN2C)on1,CHEMBL274525,EC50,nM,411000.0,EC50,uM,411.0,CHRNA1
c1cnc2cc([C@@H]3CCCN3)oc2c1,CHEMBL91005,EC50,nM,1000000.0,EC50,uM,1000.0,CHRNA1
CN1CCC[C@H]1c1cc2ncccc2o1,CHEMBL93883,EC50,nM,100000.0,EC50,uM,100.0,CHRNA1
CN1CCC[C@H]1c1cccnc1,CHEMBL3,EC50,nM,180000.0,EC50,uM,180.0,CHRNA1
CN1CCC[C@H]1COc1cccnc1,CHEMBL84149,EC50,nM,34000.0,EC50,uM,34.0,CHRNA1
Cl.O=C(N[C@H]1CN2CCC1CC2)c1ccc(Cl)cc1,CHEMBL554984,IC50,nM,60000.0,IC50,uM,60.0,CHRNA1
O=c1ccc(Br)c2n1CC1CNCC2C1,CHEMBL432712,EC50,nM,100.0,EC50,nM,100.0,CHRNA1
O=c1c(Cl)cc(Cl)c2n1CC1CNCC2C1,CHEMBL65324,EC50,nM,100.0,EC50,nM,100.0,CHRNA1
O=c1c(Br)cc(Br)c2n1CC1CNCC2C1,CHEMBL292054,EC50,nM,100.0,EC50,nM,100.0,CHRNA1
Clc1ccc(C2CC3CCC2N3)cn1,CHEMBL6623,EC50,nM,0.053,EC50,nM,0.053,CHRNA1
